728	1865	5057	2	22	2
728	1866	5061	2	22	1
728	1868	5059	2	22	0
728	1870	5057	2	22	3
729	1864	5057	2	22	3
729	1864	5058	2	22	0
729	1865	5056	2	22	1
729	1865	5058	2	22	2
729	1865	5060	2	22	1
729	1865	5061	2	22	0
729	1865	5062	2	22	2
729	1866	5057	2	22	2
729	1866	5062	2	22	3
729	1867	5058	2	22	3
729	1867	5059	2	22	1
729	1867	5060	2	22	0
729	1867	5061	2	22	0
729	1867	5062	2	22	1
729	1868	5058	2	22	2
729	1868	5060	2	22	3
729	1869	5057	2	22	3
729	1869	5058	2	22	0
729	1869	5059	2	22	1
729	1869	5060	2	22	2
729	1870	5056	2	22	2
729	1870	5058	2	22	0
729	1870	5062	2	22	3
729	1871	5057	2	22	1
